이용일,결제일,금액,포인트리금액,대분류,중분류,소분류
20190201,,1700,,생활,편의점,바이더웨이
20190201,,2000,,생활,편의점,바이더웨이
20190201,,40300,403,식사,카페,카페7그램
20190202,,10900,,식사,피자,
20190203,,11680,,생활,마트,롯데마트
20190203,,36000,,식사,햄버거,쉐이크포테이토
20190203,,15500,,식사,한식,
20190204,,36520,,생활,마트,이마트
20190205,,22420,,생활,편의점,세븐일레븐
20190207,,2300,,생활,편의점,바이더웨이
20190208,,13900,,생활,편의점,세븐일레븐
20190208,,11000,,식사,디저트,
20190208,,3300,,식사,디저트,
20190211,,20800,,기타,,
20190211,,6000,,기타,,
20190212,,14300,,식사,카페,스타벅스
20190212,,-2860,,기타,할인,
20190212,,1400,,생활,편의점,바이더웨이
20190213,,2500,,생활,편의점,CU
20190214,,7000,,식사,순대,
20190214,,3300,,식사,디저트,
20190215,20190220,8900,,교통,지하철 6,
20190215,,-890,,기타,할인,
20190215,20190220,34850,,교통,버스 15,
20190215,,-1110,,기타,할인,
20190215,,2000,,생활,편의점,바이더웨이
20190216,,53000,,생활,마트,AK
20190216,,16000,,식사,구이,
20190216,20190306,1250,,교통,지하철 1,
20190216,,10500,,식사,카페,카페베네
20190217,,21700,,식사,햄버거,맥도날드
20190217,,18450,,식사,디저트,
20190217,,20500,,식사,카페,요거프레소
20190217,,6800,,식사,카페,커피베이
20190217,,28000,196,식사,한식,
20190218,,3300,,식사,디저트,
20190219,,1800,,생활,편의점,바이더웨이
20190220,,2950,,생활,편의점,바이더웨이
20190221,,3300,,식사,디저트,
20190223,,13000,,식사,닭강정,
20190223,,9780,,생활,마트,롯데마트
20190224,,2000,,식사,카페,요거프레소
20190224,,10000,,식사,카페,카페디엠
20190224,,7100,,식사,카페,커피베이
20190225,,1800,,생활,편의점,바이더웨이
20190226,,2300,,생활,편의점,바이더웨이
20190226,,4000,40,식사,카페,카페7그램
20190226,,1500,15,식사,카페,카페7그램
20190227,,2100,,생활,편의점,바이더웨이
20190227,,8480,6,쇼핑,온라인,11번가
20190228,,2000,,생활,편의점,바이더웨이
20190228,20190306,45600,,교통,버스 22,
20190228,,1500,15,식사,카페,카페7그램
